['42.180.131.5:7777', '42.180.131.5', '金蝶云星空 管理中心', '7777', 'http']
['121.34.236.106:8000', '121.34.236.106', '金蝶云星空 管理中心', '8000', 'http']
['39.101.143.168:8000', '39.101.143.168', '金蝶云星空 管理中心', '8000', 'http']
['47.113.231.132:8000', '47.113.231.132', '金蝶云星空 管理中心', '8000', 'http']
['atmbtc.cn', '47.110.173.149', '华东空管在线学习平台', '80', 'http']
['https://58.246.205.165', '58.246.205.165', '首页-华东空管通航飞行计划受理系统', '443', 'https']
['47.102.113.107', '47.102.113.107', '华东空管在线学习平台', '80', 'http']
['www.atmbtc.cn', '47.110.173.149', '华东空管在线学习平台', '80', 'http']
['https://www.hdgasc.com', '58.246.205.165', '首页-华东空管通航飞行计划受理系统', '443', 'https']
['mc.elearning.atmbtc.cn', '47.110.173.149', '华东空管局', '80', 'http']
['121.37.185.225:8080', '121.37.185.225', '华东空管局', '8080', 'http']
['58.246.205.165', '58.246.205.165', '首页-华东空管通航飞行计划受理系统', '80', 'http']
['58.246.205.165:8085', '58.246.205.165', '首页-华东空管通航飞行计划受理系统', '8085', 'http']
['hdgasc.com', '58.246.205.165', '首页-华东空管通航飞行计划受理系统', '80', 'http']
['hdgasc.com:8085', '58.246.205.165', '首页-华东空管通航飞行计划受理系统', '8085', 'http']
['52.83.179.169:9010', '52.83.179.169', '华东空管在线学习平台', '9010', 'http']
['202.106.77.42', '202.106.77.42', '\n\t中国民航网\n', '80', 'http']
['https://132395-passport.zsjy.chaoxing.com', '42.62.3.142', '用户登录 - 中国民航教育培训在线平台', '443', 'https']
['https://132395-video.zsjy.chaoxing.com', '42.62.3.142', '中国民航教育培训在线平台', '443', 'https']
['132395-video.zsjy.chaoxing.com', '42.62.3.142', '中国民航教育培训在线平台', '80', 'http']
['https://132395-book.zsjy.chaoxing.com', '42.62.3.142', '中国民航教育培训在线平台', '443', 'https']
['132395-book.zsjy.chaoxing.com', '42.62.3.142', '中国民航教育培训在线平台', '80', 'http']
['132395-passport.zsjy.chaoxing.com', '42.62.3.142', '用户登录 - 中国民航教育培训在线平台', '80', 'http']
['https://v211662.mooc.chaoxing.com', '42.62.2.171', '中国民航管理干部学院本科教育平台', '443', 'https']
['mhglgbxy.fanya.chaoxing.com', '140.210.69.133', '\n        \t中国民航教育培训在线平台\n    \n', '80', 'http']
['https://v111713.mooc.chaoxing.com', '42.62.2.171', '中国民航大学机场学院', '443', 'https']
['https://caucmks.fanya.chaoxing.com', '140.210.69.131', '        \t    \t\t中国民航大学马克思主义学院网络教学平台\n    \t    \n', '443', 'https']
['https://v177112.kypt.chaoxing.com', '140.210.69.132', '中国民航行业文化研究中心', '443', 'https']
['https://125596mer.mh.chaoxing.com', '140.210.88.45', '中国民航管理干部学院', '443', 'https']
['v177112.kypt.chaoxing.com', '140.210.69.133', '中国民航行业文化研究中心', '80', 'http']
['https://v2964.zyk2.chaoxing.com', '42.62.2.150', '\n中国民航管理干部学院\t', '443', 'https']
['132395sn.portal.chaoxing.com', '140.210.88.45', '中国民航管理干部学院在线学习园地', '80', 'http']
['132395yqh.portal.chaoxing.com', '124.243.227.8', '中国民航管理干部学院（暂定版）', '80', 'http']
['v2964.zyk2.chaoxing.com', '42.62.2.150', '\n中国民航管理干部学院\t', '80', 'http']
['v177112.fanya.chaoxing.com', '140.210.69.133', '\n        \t    \t\t中国民航行业文化研究中心网络教学平台\n    \t    \n', '80', 'http']
['https://v177112.fanya.chaoxing.com', '140.210.69.130', '\n        \t    \t\t中国民航行业文化研究中心网络教学平台\n    \t    \n', '443', 'https']
['https://caucjf.fanya.chaoxing.com', '140.210.69.130', '\n        \t中国民航大学教师教学发展中心\n    \n', '443', 'https']
['caucjf.fanya.chaoxing.com', '140.210.69.130', '\n        \t中国民航大学教师教学发展中心\n    \n', '80', 'http']
['mhglgbkcpt.fanya.chaoxing.com', '140.210.69.132', '\n        \t    \t\t中国民航管理干部培训学员课程平台网络教学平台\n    \t    \n', '80', 'http']
['10284721.doc.999120.net', '103.53.211.9', '中国民用航空总医院(中国民航北京医院/民航总医院)李兴旺预约挂号', '80', 'http']
['10284755.doc.999120.net', '103.53.211.9', '中国民用航空总医院(中国民航北京医院/民航总医院)李玉民预约挂号', '80', 'http']
['10284714.doc.999120.net', '103.53.211.9', '中国民用航空总医院(中国民航北京医院/民航总医院)黄鹏预约挂号', '80', 'http']
['10284722.doc.999120.net', '103.53.211.9', '中国民用航空总医院(中国民航北京医院/民航总医院)刘远程预约挂号', '80', 'http']
['https://v205274.mooc.chaoxing.com', '42.62.2.171', '中国民航大学幼儿园', '443', 'https']
['v208048.mooc.chaoxing.com', '42.62.2.171', '中国民航飞行员协会培训中心', '80', 'http']
['https://mhglgbkcpt.fanya.chaoxing.com', '140.210.69.132', '\n        \t    \t\t中国民航管理干部培训学员课程平台网络教学平台\n    \t    \n', '443', 'https']
['https://125596lcj.mh.chaoxing.com', '140.210.88.44', '中国民航管理干部学院（暂定版）', '443', 'https']
['https://132395msp.mh.chaoxing.com', '124.243.227.8', '中国民航管理干部学院教师教学发展中心', '443', 'https']
['caucjf.ctld.chaoxing.com', '140.210.88.233', ' 中国民航大学 ', '80', 'http']
['zgmhdddddb.400qikan.com', '129.226.165.38', '中国民航大学学报杂志社官网投稿', '80', 'http']
['https://2215.gaokao.haedu.cn', '222.88.94.165', '中国民航大学-河南省阳光高考', '443', 'https']
['www-caacnews-ex3-62kixmdx-ex0-www-webvpn.webvpn.hljucm.net', '211.93.39.10', '\n\t中国民航网\n', '80', 'http']
['111.207.249.86', '111.207.249.86', '中国民航飞行品质监控基站工程    ', '80', 'http']
['minhang.vip.qikan.cn', '59.151.51.139', '\t        中国民航管理干部学院', '80', 'http']
['sxo.hzwfdc.com', '27.124.42.58', '中国民航局：今年我国民航运输市场有望迎来显著复苏-宁波前湾新区管理委员会', '80', 'http']
['https://sxo.hzwfdc.com', '27.124.42.58', '中国民航局：今年我国民航运输市场有望迎来显著复苏-宁波前湾新区管理委员会', '443', 'https']
['dtpw.hzwfdc.com', '27.124.42.58', '中国民航局：今年我国民航运输市场有望迎来显著复苏-宁波前湾新区管理委员会', '80', 'http']
['10059.dsglxt.com', '122.114.57.15', '中国民航大学 - 导师管理系统 管理中心', '80', 'http']
['1629645064.16296450641-16.oumusha.cn', '156.237.186.131', '给大家通知一下中国民航将自10月30日起执行2022/23年冬春航季航班计划(全方面已更新(农视网)v8.7.10', '80', 'http']
['4x5.jsysbs.cn', '38.55.214.235', '中国民航大学-论文首页', '80', 'http']
['2aex.uhcea.com', '156.241.181.155', '中国民航大学', '80', 'http']
['3ekchrecq.q7jmbsatw.kw8r7ev2h.cctv12.pzcits.com', '45.204.108.17', '波音逆市拉升涨近1% 中国民航恢复737MAX新飞机引进即将完成全部流程-中国长安网', '80', 'http']
['121.15.158.189:9999', '121.15.158.189', '中国民航国内航空资料汇编（网络版）', '9999', 'http']
['https://hkytest.cyberwisdom.net.cn', '222.246.138.11', '中国民航运输业务学习平台', '443', 'https']
['hkytest.cyberwisdom.net.cn', '183.6.211.250', '中国民航运输业务学习平台', '80', 'http']
['https://2ns0f.mycj58.com', '45.192.193.74', '中国民航大学瓜资讯信息(2023已更新(小红书/知乎)', '443', 'https']
['castc.org.cn', '111.207.114.169', '中国民航科学技术研究院', '80', 'http']
['https://course.camic.chaoxing.com', '113.209.194.210', '中国民航管理干部学院', '443', 'https']
['https://180.76.48.21', '180.76.48.21', '中国民航局无人驾驶航空器空管信息服务系统(测试版)', '443', 'https']
['lijiejietest.ganaegy.yun-xiang.net', '149.104.154.27', '中国民航局印发首个5G应用具体指南：不影响民航安全', '80', 'http']
['https://www.camic.cn', '114.255.246.24', '中国民航管理干部学院', '443', 'https']
['https://125.64.74.28', '125.64.74.28', '中国民航管制员英语等级测试中心', '443', 'https']
['https://114.255.246.74', '114.255.246.74', '中国民航管理干部学院VPN服务', '443', 'https']
['https://125.64.74.28:1443', '125.64.74.28', '中国民航管制员英语等级测试中心', '1443', 'https']
['https://119.254.234.44', '119.254.234.44', '中国民航旅客健康申明填报', '443', 'https']
['www.10284720.doc.999120.net', '103.53.211.9', '中国民用航空总医院(中国民航北京医院/民航总医院)钱效森预约挂号', '80', 'http']
['caacnews.com.cn', '202.106.77.42', '\n\t中国民航网\n', '80', 'http']
['118.121.206.242:8000', '118.121.206.242', '中国民航职业技能学院版考试系统', '8000', 'http']
['https://o610jd7486.aicidi.com', '172.67.206.74', 'm.hahabet2.com-娱乐平台官方版本(2023-03-12更新)(中国民航局：今年我国民航运输市场有望显著复苏...', '443', 'https']
['o610jd7486.aicidi.com', '172.67.206.74', 'm.hahabet2.com-娱乐平台官方版本(2023-03-12更新)(中国民航局：今年我国民航运输市场有望显著复苏...', '80', 'http']
['https://7071mo.dataibei-design.com', '104.21.96.109', '给大家介绍一下hahabet最新链接怎么回事(2023-03-12已更新)(中国民航局：今年我国民航运输市场有望显著复苏', '443', 'https']
['https://wg4098x7179.masjid.cn', '104.21.83.41', 'ku游备用登录入口二-线上娱乐平台火爆版本(2023-03-12更新)(中国民航局：今年我国民航运输市场有望显著复苏...', '443', 'https']
['https://46344673kts.aicidi.com', '104.21.69.77', 'm.hahabet2.com-专业平台火爆版本(2023-03-12更新)(中国民航局：今年我国民航运输市场有望显著复苏...', '443', 'https']
['https://5529406169481121.dataibei-design.com', '104.21.96.109', '给大家展示一下hahabet最新链接怎么回事(2023-03-12已更新)(中国民航局：今年我国民航运输市场有望显著复苏', '443', 'https']
['46344673kts.aicidi.com', '172.67.206.74', 'm.hahabet2.com-专业平台火爆版本(2023-03-12更新)(中国民航局：今年我国民航运输市场有望显著复苏...', '80', 'http']
['https://4517b3325w.aicidi.com', '104.21.69.77', 'm.hahabet2.com-平台PC版本(2023-03-12更新)(中国民航局：今年我国民航运输市场有望显著复苏...', '443', 'https']
['https://rsjh5697.dataibei-design.com', '172.67.177.23', '给大家看一下hahabet最新链接怎么回事(2023-03-12已更新)(中国民航局：今年我国民航运输市场有望显著复苏', '443', 'https']
['https://40284766d.kangapp.cn', '104.21.81.209', 'HAHABET电竞-2023✪欢迎莅临官方版本(中国民航局：今年我国民航运输市场有望显著复苏)', '443', 'https']
['https://quew.dalailamaphilly.com', '104.21.0.123', '给大家分析一下hahabet登录入口怎么回事(2023-03-12已更新)(中国民航局：今年我国民航运输市场有望显著复苏', '443', 'https']
['https://86049878j7862.dalailamaphilly.com', '104.21.0.123', '给大家了解一下hahabet登录入口怎么回事(2023-03-12已更新)(中国民航局：今年我国民航运输市场有望显著复苏', '443', 'https']
['https://161981707045394.dalailamaphilly.com', '172.67.150.243', '给大家分析一下hahabet登录入口怎么回事(2023-03-12已更新)(中国民航局：今年我国民航运输市场有望显著复苏', '443', 'https']
['https://g1028517.dalailamaphilly.com', '172.67.150.243', '给大家介绍一下hahabet登录入口怎么回事(2023-03-12已更新)(中国民航局：今年我国民航运输市场有望显著复苏', '443', 'https']
['https://s7773t.dalailamaphilly.com', '172.67.150.243', '给大家推荐一下hahabet登录入口怎么回事(2023-03-12已更新)(中国民航局：今年我国民航运输市场有望显著复苏', '443', 'https']
['https://6977633094685313.dalailamaphilly.com', '172.67.150.243', '给大家分析一下hahabet登录入口怎么回事(2023-03-12已更新)(中国民航局：今年我国民航运输市场有望显著复苏', '443', 'https']
['https://podt.dalailamaphilly.com', '172.67.150.243', '给大家介绍一下hahabet登录入口怎么回事(2023-03-12已更新)(中国民航局：今年我国民航运输市场有望显著复苏', '443', 'https']
['https://o6575i.dalailamaphilly.com', '104.21.0.123', '给大家了解一下hahabet登录入口怎么回事(2023-03-12已更新)(中国民航局：今年我国民航运输市场有望显著复苏', '443', 'https']
['https://22735193217080267197803142518849.dalailamaphilly.com', '172.67.150.243', '给大家推荐一下hahabet登录入口怎么回事(2023-03-12已更新)(中国民航局：今年我国民航运输市场有望显著复苏', '443', 'https']
['https://1979ome.dalailamaphilly.com', '172.67.150.243', '给大家展示一下hahabet登录入口怎么回事(2023-03-12已更新)(中国民航局：今年我国民航运输市场有望显著复苏', '443', 'https']
['https://eygf.dalailamaphilly.com', '104.21.0.123', '给大家介绍一下hahabet登录入口怎么回事(2023-03-12已更新)(中国民航局：今年我国民航运输市场有望显著复苏', '443', 'https']
['https://vzoy2024.dalailamaphilly.com', '104.21.0.123', '给大家浅谈一下hahabet登录入口怎么回事(2023-03-12已更新)(中国民航局：今年我国民航运输市场有望显著复苏', '443', 'https']
['https://fyv567.dalailamaphilly.com', '172.67.150.243', '给大家分析一下hahabet登录入口怎么回事(2023-03-12已更新)(中国民航局：今年我国民航运输市场有望显著复苏', '443', 'https']
['https://d3051n.dalailamaphilly.com', '104.21.0.123', '给大家讲一下hahabet登录入口怎么回事(2023-03-12已更新)(中国民航局：今年我国民航运输市场有望显著复苏', '443', 'https']
['https://b7782z.dalailamaphilly.com', '172.67.150.243', '给大家科普一下hahabet登录入口怎么回事(2023-03-12已更新)(中国民航局：今年我国民航运输市场有望显著复苏', '443', 'https']
['https://q34499427.dalailamaphilly.com', '104.21.0.123', '给大家展示一下hahabet登录入口怎么回事(2023-03-12已更新)(中国民航局：今年我国民航运输市场有望显著复苏', '443', 'https']
['https://6052s6908.dalailamaphilly.com', '172.67.150.243', '给大家百度一下hahabet登录入口怎么回事(2023-03-12已更新)(中国民航局：今年我国民航运输市场有望显著复苏', '443', 'https']
['https://vxhv.dalailamaphilly.com', '172.67.150.243', '给大家了解一下hahabet登录入口怎么回事(2023-03-12已更新)(中国民航局：今年我国民航运输市场有望显著复苏', '443', 'https']
['p3.xxskjgzxleping.com', '156.241.182.182', '中国民航大学', '80', 'http']
['saz4.rxa4.top', '156.241.182.182', '中国民航大学', '80', 'http']
['003oh.shufeinail.com', '156.241.182.135', '中国民航大学', '80', 'http']
['pumus.8w2qr.top', '156.241.180.186', '中国民航大学', '80', 'http']
['ptm2.mjjgcwusu.com', '156.241.183.171', '中国民航大学', '80', 'http']
['2rpni.md968.com', '156.241.183.179', '中国民航大学', '80', 'http']
['kd0xe.gzshengmaogc.com', '156.241.180.143', '中国民航大学', '80', 'http']
['hlgyj.abcel.top', '156.241.183.152', '中国民航大学', '80', 'http']
